Data,"Inflação_IPCA(% a.m.)(IBGE/SNIPC)_PRECOS12_IPCAG12 - "
1980.01,6.61564916057387
1980.02,4.61691885303424
1980.03,6.03838866463464
1980.04,5.28611382402557
1980.05,5.70272065101669
